Distance_km,Avg_Speed_kmph,Number_of_Signals,Traffic_Level,Weather,Road_Type,Vehicle_Type,Day_of_Week,Time_of_Day,Travel_Time_Minutes
13.5,9.3,10,Medium,Rainy,City Road,Bike,Tuesday,Morning,95.3
5.04,32.9,1,Medium,Rainy,Rural Road,Car,Saturday,Night,13.5
16.53,31.5,10,Medium,Clear,City Road,Bike,Wednesday,Afternoon,37.6
4.53,55.8,5,Low,Clear,Rural Road,Bike,Friday,Afternoon,5.0
6.89,48.3,6,Low,Clear,Rural Road,Bike,Tuesday,Morning,9.3
18.57,19.3,11,High,Clear,Rural Road,Car,Wednesday,Evening,70.1
12.08,46.2,6,High,Rainy,Highway,Car,Tuesday,Evening,31.0
5.32,8.0,6,High,Clear,City Road,Truck,Thursday,Night,56.4
26.12,44.0,9,High,Clear,Highway,Bike,Monday,Evening,50.1
9.58,44.6,2,Medium,Foggy,Highway,Bus,Monday,Evening,28.4
10.5,46.0,2,High,Clear,Highway,Bike,Thursday,Evening,20.1
11.03,13.2,10,High,Rainy,City Road,Bus,Thursday,Night,70.0
17.27,28.6,13,Medium,Clear,City Road,Car,Wednesday,Night,39.7
10.0,30.5,12,Medium,Clear,City Road,Car,Thursday,Night,27.9
11.28,43.3,10,Low,Clear,City Road,Bike,Wednesday,Afternoon,19.0
21.97,60.3,7,Medium,Rainy,Highway,Car,Saturday,Afternoon,29.4
20.5,36.9,9,Low,Foggy,Rural Road,Car,Thursday,Morning,43.6
10.9,81.3,4,Low,Clear,Highway,Bike,Saturday,Night,7.3
11.11,56.3,4,Medium,Clear,Highway,Bus,Tuesday,Evening,23.4
2.44,27.7,7,Medium,Clear,City Road,Bike,Tuesday,Night,11.5
13.37,33.8,9,Low,Rainy,City Road,Car,Wednesday,Night,26.1
18.96,13.4,13,High,Rainy,City Road,Truck,Monday,Afternoon,111.3
9.7,8.0,10,High,Rainy,City Road,Car,Friday,Morning,89.8
24.03,30.5,17,Low,Foggy,City Road,Car,Wednesday,Morning,58.8
4.24,42.4,8,Low,Clear,City Road,Truck,Wednesday,Night,11.1
7.16,29.9,10,Low,Rainy,City Road,Bus,Thursday,Afternoon,26.5
23.0,46.7,8,High,Rainy,Highway,Truck,Monday,Afternoon,49.1
18.55,14.4,12,High,Clear,City Road,Bus,Wednesday,Night,95.7
4.08,26.0,9,Low,Foggy,City Road,Bike,Sunday,Afternoon,15.2
4.56,16.9,6,High,Clear,City Road,Car,Friday,Night,25.1
16.67,66.1,6,Low,Rainy,Highway,Car,Friday,Evening,24.7
14.82,56.1,8,Medium,Rainy,Highway,Truck,Thursday,Night,29.7
10.4,8.0,9,High,Foggy,City Road,Bus,Thursday,Morning,108.7
23.58,30.8,14,Low,Clear,City Road,Car,Sunday,Afternoon,53.5
8.21,45.9,4,Low,Clear,Rural Road,Car,Sunday,Morning,14.3
3.16,55.7,2,Medium,Foggy,Highway,Car,Wednesday,Morning,10.9
17.26,65.0,9,Medium,Rainy,Highway,Car,Sunday,Night,26.7
19.38,45.2,9,High,Clear,Highway,Bus,Monday,Evening,43.1
8.48,31.8,5,High,Rainy,Rural Road,Car,Wednesday,Afternoon,30.0
6.03,52.8,6,Low,Clear,Rural Road,Car,Wednesday,Afternoon,8.8
3.25,14.0,8,Low,Rainy,City Road,Truck,Friday,Morning,26.4
11.96,37.3,6,High,Foggy,Highway,Bike,Friday,Morning,36.2
14.42,31.1,10,Low,Clear,City Road,Car,Thursday,Night,28.9
20.15,42.8,11,High,Clear,Highway,Car,Tuesday,Morning,42.4
14.91,15.1,12,Medium,Stormy,City Road,Car,Thursday,Afternoon,79.6
8.87,21.7,5,Low,Rainy,City Road,Car,Tuesday,Morning,28.9
13.37,20.9,9,High,Foggy,Rural Road,Car,Thursday,Night,55.2
20.7,41.2,9,Low,Clear,Rural Road,Car,Wednesday,Morning,35.0
14.32,16.3,10,Medium,Stormy,City Road,Car,Sunday,Afternoon,64.1
19.09,36.5,8,Medium,Clear,Rural Road,Car,Saturday,Night,38.8
6.2,28.6,9,Medium,Clear,City Road,Car,Tuesday,Evening,24.5
16.9,27.6,11,Medium,Clear,City Road,Truck,Sunday,Afternoon,42.9
14.92,36.7,6,Medium,Rainy,Rural Road,Car,Friday,Evening,35.8
9.94,8.0,9,High,Foggy,City Road,Car,Wednesday,Afternoon,95.2
20.91,16.6,13,High,Rainy,City Road,Bus,Thursday,Afternoon,94.3
31.74,49.2,11,Medium,Rainy,Highway,Car,Tuesday,Evening,51.8
4.91,31.0,9,Low,Clear,City Road,Car,Monday,Afternoon,16.6
4.0,30.2,8,Medium,Clear,City Road,Bus,Wednesday,Night,15.8
10.22,21.2,10,High,Clear,City Road,Bike,Saturday,Afternoon,39.9
11.48,84.0,6,Low,Clear,Highway,Car,Wednesday,Night,10.8
11.96,27.8,10,Medium,Clear,City Road,Bike,Wednesday,Morning,34.3
8.32,14.1,7,Medium,Foggy,City Road,Bike,Sunday,Evening,44.1
4.46,59.9,5,Low,Rainy,Highway,Car,Sunday,Evening,11.0
10.52,17.8,11,Medium,Rainy,City Road,Car,Thursday,Evening,46.0
11.53,30.5,12,Medium,Clear,City Road,Car,Monday,Afternoon,29.8
10.02,43.5,6,High,Clear,Highway,Bus,Friday,Evening,33.9
11.68,47.9,4,High,Clear,Highway,Car,Saturday,Morning,25.9
13.55,8.0,7,High,Clear,City Road,Car,Sunday,Evening,112.8
10.75,52.1,4,Medium,Clear,Rural Road,Bike,Sunday,Night,15.3
8.27,77.4,5,Low,Clear,Highway,Truck,Friday,Afternoon,10.3
11.72,19.2,10,Medium,Clear,City Road,Car,Monday,Morning,42.4
14.12,35.5,5,High,Rainy,Highway,Car,Tuesday,Evening,42.0
12.3,79.5,2,Medium,Clear,Highway,Car,Saturday,Night,17.5
32.9,51.8,12,High,Clear,Highway,Bike,Friday,Afternoon,45.2
14.67,78.5,5,Low,Clear,Highway,Car,Thursday,Morning,15.4
12.0,49.8,4,High,Clear,Highway,Bus,Wednesday,Afternoon,32.9
7.59,57.5,6,Low,,Rural Road,Car,Friday,Night,8.5
7.7,81.3,2,Low,Clear,Highway,Car,Wednesday,Afternoon,5.6
10.03,35.2,4,Medium,Rainy,Rural Road,Car,Tuesday,Evening,24.7
10.21,85.4,5,Low,Clear,Highway,Car,Sunday,Afternoon,14.2
9.99,35.4,7,Low,Foggy,Rural Road,Car,Wednesday,Evening,29.4
15.02,52.3,7,Low,Clear,Rural Road,Bus,Tuesday,Afternoon,23.2
20.54,38.1,15,Medium,Clear,City Road,Car,Monday,Afternoon,38.7
17.3,8.0,10,High,Clear,City Road,Bike,Thursday,Evening,141.9
16.22,60.7,4,Low,Clear,Highway,Car,Sunday,Evening,19.4
7.12,20.7,6,Medium,Clear,City Road,Bike,Tuesday,Afternoon,26.8
22.19,34.9,6,High,Foggy,Highway,Car,Tuesday,Afternoon,53.4
7.5,75.0,4,Low,Clear,Highway,Bike,Tuesday,Morning,7.6
13.93,50.1,5,Low,Rainy,Rural Road,Car,Monday,Evening,21.7
15.69,8.0,9,High,Clear,City Road,Truck,Friday,Afternoon,135.6
22.54,43.1,9,High,Clear,Highway,Truck,Wednesday,Evening,47.4
29.68,30.4,18,Medium,Clear,City Road,Bus,Saturday,Afternoon,79.7
9.8,62.7,6,High,Clear,Highway,Bus,Wednesday,Night,27.1
13.3,28.1,12,Low,Clear,City Road,Car,Friday,Evening,31.8
21.44,55.0,7,Medium,Stormy,Highway,Bike,Monday,Afternoon,38.1
31.06,60.7,12,Medium,Rainy,Highway,Car,Wednesday,Afternoon,44.3
10.39,67.0,5,Low,Stormy,Highway,Bus,Wednesday,Evening,24.0
7.33,47.7,3,High,Clear,Highway,Car,Monday,Morning,24.1
5.31,15.8,8,Medium,Rainy,City Road,Car,Wednesday,Morning,34.1
4.12,8.0,6,High,Rainy,City Road,Bike,Thursday,Morning,44.3
8.03,19.9,8,Medium,Rainy,City Road,Car,Wednesday,Afternoon,37.0
19.2,31.7,9,Medium,Stormy,Rural Road,Bike,Thursday,Afternoon,57.8
19.8,41.2,11,Low,Rainy,Rural Road,Car,Saturday,Afternoon,39.6
14.67,10.0,13,Low,Foggy,City Road,Bike,Saturday,Morning,97.3
10.14,8.0,11,High,Rainy,City Road,Bus,Monday,Afternoon,100.4
15.04,44.1,11,Low,Clear,City Road,Bike,Friday,Afternoon,17.8
12.4,69.1,5,Low,Rainy,Highway,Car,Sunday,Afternoon,19.7
10.41,32.9,7,Low,Clear,City Road,Car,Sunday,Evening,25.2
14.31,21.9,10,Low,Foggy,City Road,Car,Wednesday,Afternoon,53.5
9.89,8.3,8,High,Foggy,City Road,Car,Saturday,Night,91.7
14.27,33.3,12,Medium,Clear,City Road,Bike,Saturday,Night,34.2
15.5,8.0,13,High,Clear,City Road,Car,Wednesday,Evening,130.2
17.57,32.8,13,Low,Clear,City Road,Car,Sunday,Evening,37.5
4.57,55.0,4,Medium,Clear,Highway,Car,Friday,Morning,8.5
22.35,55.3,9,Medium,Clear,Highway,Truck,Saturday,Evening,35.3
11.53,21.4,9,Medium,Rainy,City Road,Car,Saturday,Afternoon,40.9
29.86,49.6,11,High,Rainy,Highway,Car,Saturday,Afternoon,55.5
19.27,8.0,12,High,Foggy,City Road,Car,Sunday,Night,168.6
7.45,45.2,5,High,Clear,Highway,Car,Sunday,Morning,21.9
16.36,58.7,7,Low,Clear,Rural Road,Truck,Wednesday,Afternoon,24.2
21.48,47.1,13,Low,Clear,City Road,Car,Thursday,Night,34.2
10.69,32.6,7,Medium,Foggy,Rural Road,Bike,Friday,Night,33.7
7.13,73.5,2,Low,Clear,Highway,Bike,Saturday,Evening,4.2
6.47,61.0,5,Medium,Clear,Highway,Bus,Wednesday,Evening,17.6
5.22,29.4,6,Medium,Clear,City Road,Bike,Wednesday,Night,18.7
3.36,10.8,8,Medium,Foggy,City Road,Bus,Saturday,Morning,37.4
11.65,23.5,10,High,Clear,City Road,Car,Sunday,Afternoon,39.5
6.66,33.6,6,Medium,Rainy,Rural Road,Car,Sunday,Morning,19.3
8.49,76.1,2,Low,Rainy,Highway,Bike,Tuesday,Afternoon,11.5
30.24,29.7,14,Low,Rainy,City Road,Bike,Sunday,Night,67.0
15.54,57.5,8,Medium,Clear,Highway,Bike,Saturday,Evening,23.3
7.32,31.9,8,Medium,Clear,City Road,Car,Tuesday,Night,25.3
37.81,38.2,19,Low,Clear,City Road,Car,Monday,Evening,65.5
14.21,78.6,5,Medium,Clear,Highway,Car,Tuesday,Night,13.3
1.89,26.7,3,High,Rainy,Highway,Car,Sunday,Morning,17.6
36.0,67.2,14,High,Clear,Highway,Car,Saturday,Afternoon,47.6
26.38,72.1,11,Medium,Clear,Highway,Car,Friday,Afternoon,33.4
14.48,74.5,4,Medium,Clear,Highway,Bike,Friday,Night,11.4
11.6,30.3,7,Low,Rainy,Rural Road,Bike,Wednesday,Evening,29.5
19.06,20.8,11,Medium,Clear,City Road,Bike,Sunday,Morning,64.7
13.81,68.1,5,Low,Rainy,Highway,Bike,Tuesday,Morning,19.2
9.44,64.1,2,Medium,Clear,Highway,Car,Wednesday,Afternoon,13.6
9.11,8.0,9,Medium,Stormy,City Road,Car,Tuesday,Morning,84.5
20.71,25.7,15,Low,Rainy,City Road,Bike,Saturday,Evening,61.7
7.31,39.8,9,Low,Clear,City Road,Bus,Thursday,Night,20.7
20.55,47.2,13,Low,Clear,City Road,Bike,Friday,Night,30.8
12.59,46.2,6,High,Clear,Highway,Bike,Sunday,Morning,26.2
4.68,29.6,8,Medium,Clear,City Road,Bike,Tuesday,Afternoon,10.0
21.44,75.5,9,Low,Clear,Highway,Bike,Sunday,Evening,17.9
7.42,8.2,9,High,Foggy,City Road,Bike,Monday,Afternoon,71.7
8.0,18.5,7,Medium,Rainy,City Road,Bike,Saturday,Afternoon,33.9
10.97,26.7,10,Medium,Clear,City Road,Car,Friday,Morning,29.5
11.96,8.0,8,High,Rainy,City Road,Car,Saturday,Morning,107.4
14.53,55.1,8,Low,Clear,Rural Road,Car,Tuesday,Afternoon,20.9
20.84,17.4,12,Low,Stormy,City Road,Bike,Sunday,Morning,83.9
20.47,26.2,15,Medium,Clear,City Road,Bus,Saturday,Morning,62.0
8.95,25.6,5,Low,Rainy,City Road,Car,Monday,Evening,24.8
9.12,16.6,12,Medium,Rainy,City Road,Car,Thursday,Night,47.2
19.64,62.6,5,Low,Clear,Highway,Bus,Saturday,Evening,29.5
6.69,71.1,2,Low,Clear,Highway,Car,Thursday,Morning,9.9
12.58,44.9,11,Low,Clear,City Road,Bus,Wednesday,Night,23.8
25.33,52.2,11,Medium,Foggy,Highway,Car,Tuesday,Evening,49.0
9.72,41.2,9,Low,Clear,City Road,Car,Thursday,Afternoon,16.2
5.17,47.0,5,Low,Rainy,Rural Road,Car,Sunday,Afternoon,10.0
7.42,48.5,2,High,Rainy,Highway,Car,Friday,Night,19.8
7.7,23.0,8,Low,Foggy,City Road,Car,Saturday,Afternoon,27.6
7.07,65.9,3,Medium,Clear,Highway,Car,Saturday,Morning,11.2
10.68,59.2,5,Low,Clear,Rural Road,Car,Saturday,Afternoon,12.6
35.61,20.2,16,Medium,Rainy,City Road,Car,Wednesday,Afternoon,116.7
16.13,57.2,8,Low,Clear,Rural Road,Bus,Saturday,Afternoon,24.0
11.26,24.4,6,Medium,Foggy,Rural Road,Car,Wednesday,Afternoon,37.1
11.8,32.9,12,Low,Clear,City Road,Car,Friday,Evening,25.6
8.28,54.3,2,High,,Highway,Car,Wednesday,Afternoon,21.3
11.78,41.3,4,High,Foggy,Highway,Truck,Sunday,Evening,42.5
24.73,79.0,11,Low,Clear,Highway,Bus,Saturday,Afternoon,32.5
12.82,84.3,6,Low,Clear,Highway,Truck,Friday,Night,17.5
20.4,53.0,10,Low,Clear,Rural Road,Truck,Thursday,Night,31.8
18.95,58.6,8,Medium,Clear,Highway,Car,Thursday,Afternoon,23.4
34.72,58.9,14,Low,Foggy,Highway,Bike,Saturday,Morning,48.0
18.77,8.0,15,High,Clear,City Road,Car,Tuesday,Evening,154.4
33.41,15.8,18,High,Clear,City Road,Bus,Saturday,Afternoon,150.1
21.23,30.8,8,High,Clear,Rural Road,Car,Tuesday,Night,58.8
14.53,49.5,7,Medium,Stormy,Highway,Car,Monday,Afternoon,34.2
7.88,13.4,8,High,Clear,City Road,Truck,Saturday,Afternoon,57.9
20.34,31.4,9,Low,Stormy,Rural Road,Bus,Friday,Afternoon,56.4
21.28,23.0,10,Medium,Foggy,Rural Road,Truck,Wednesday,Night,75.0
21.58,71.5,7,Low,Clear,Highway,Car,Friday,Morning,23.0
2.31,8.0,6,High,Foggy,City Road,Car,Saturday,Night,32.0
9.58,59.4,5,Medium,Rainy,Highway,Car,Saturday,Morning,21.7
16.01,8.0,11,High,Clear,City Road,Car,Sunday,Night,137.2
9.99,33.5,11,Low,Clear,City Road,Car,Saturday,Evening,26.8
9.08,45.6,3,High,Foggy,Highway,Car,Thursday,Evening,29.3
8.26,28.1,3,Medium,Rainy,Rural Road,Bus,Tuesday,Morning,26.0
4.76,14.0,11,Medium,Rainy,City Road,Car,Monday,Evening,34.4
15.55,8.0,5,High,Stormy,Rural Road,Bike,Friday,Evening,137.1
8.73,47.5,5,Medium,Clear,Rural Road,Bus,Friday,Afternoon,20.8
9.73,16.0,12,Medium,Foggy,City Road,Bike,Friday,Afternoon,48.7
11.26,8.0,10,Medium,Foggy,City Road,Car,Monday,Evening,95.9
16.93,83.3,9,Low,Clear,Highway,Car,Friday,Afternoon,16.9
14.32,70.5,7,Low,Clear,Highway,Car,Saturday,Night,17.9
13.95,36.2,11,Low,Clear,City Road,Bike,Saturday,Morning,29.0
3.06,66.0,2,Low,Foggy,Highway,Car,Thursday,Afternoon,6.7
20.62,55.0,5,High,Clear,Highway,Car,Monday,Night,33.0
28.87,59.4,11,Medium,Rainy,Highway,Truck,Thursday,Night,40.9
13.75,77.2,6,Medium,Clear,Highway,Bike,Friday,Afternoon,18.4
6.55,23.2,9,Medium,Clear,City Road,Bus,Thursday,Evening,32.5
9.22,12.4,13,Medium,Rainy,City Road,Car,Friday,Morning,51.9
6.72,20.3,9,Medium,Clear,City Road,Truck,Thursday,Morning,30.0
27.03,17.3,12,High,Foggy,Rural Road,Car,Thursday,Night,112.0
9.7,34.0,7,High,Clear,Rural Road,Car,Wednesday,Evening,26.6
14.09,43.4,7,Medium,Foggy,Highway,Bus,Friday,Morning,40.2
11.01,45.4,10,Low,Clear,City Road,Bus,Tuesday,Night,27.9
16.51,54.8,7,Medium,Stormy,Highway,Car,Thursday,Afternoon,34.9
7.58,21.7,8,Medium,Rainy,City Road,Car,Wednesday,Evening,30.4
13.79,33.1,11,Medium,Clear,City Road,Car,Friday,Night,32.5
9.75,30.0,9,Medium,Clear,City Road,Bus,Sunday,Night,31.8
22.1,42.1,11,Medium,Clear,Rural Road,Bus,Friday,Morning,43.9
3.24,33.1,6,Low,Rainy,City Road,Car,Monday,Afternoon,13.4
10.36,71.8,5,Low,Foggy,Highway,Car,Friday,Afternoon,17.8
20.96,52.1,12,Medium,Clear,Rural Road,Bike,Wednesday,Night,25.4
19.65,80.5,8,Low,Clear,Highway,Bike,Monday,Night,15.0
4.97,21.9,11,Low,Rainy,City Road,Car,Tuesday,Evening,23.2
18.49,33.8,9,Medium,Clear,Rural Road,Bike,Sunday,Morning,40.9
7.18,64.3,3,Medium,Rainy,Highway,Truck,Wednesday,Night,21.0
8.42,27.6,9,Low,Clear,City Road,Car,Tuesday,Evening,22.8
20.34,60.3,8,Medium,Rainy,Highway,Bike,Monday,Afternoon,29.8
10.24,8.0,3,High,Stormy,Rural Road,Bike,Friday,Afternoon,95.3
4.77,42.5,9,Low,Clear,City Road,Bike,Saturday,Afternoon,12.4
6.18,51.2,6,High,Clear,Highway,Bus,Wednesday,Afternoon,25.0
12.67,8.6,11,High,Clear,City Road,Bike,Monday,Night,104.1
10.05,16.4,10,Medium,Rainy,City Road,Bike,Wednesday,Night,43.3
9.95,59.1,4,Medium,Clear,Highway,Car,Friday,Morning,12.4
16.35,19.6,13,Low,Stormy,City Road,Bike,Monday,Night,64.3
14.77,8.3,11,High,Rainy,City Road,Car,Tuesday,Afternoon,125.8
10.46,29.2,10,Medium,Clear,City Road,Car,Monday,Night,36.2
19.83,8.9,11,High,Rainy,City Road,Car,Thursday,Night,148.4
16.43,24.3,11,Medium,Clear,City Road,Bike,Tuesday,Evening,45.0
14.29,63.7,7,Low,Foggy,Highway,Truck,Tuesday,Evening,27.1
9.17,22.5,11,Low,Clear,City Road,Bike,Monday,Evening,28.4
21.53,16.4,15,Medium,Rainy,City Road,Bus,Saturday,Night,99.7
9.88,29.8,3,Medium,Stormy,Rural Road,Car,Thursday,Afternoon,36.3
10.39,40.1,3,Low,Rainy,Rural Road,Bike,Sunday,Evening,15.2
27.36,22.9,16,Medium,Foggy,City Road,Truck,Wednesday,Night,95.0
7.41,8.0,7,High,Clear,City Road,Car,Tuesday,Night,71.9
7.35,8.0,10,Medium,Foggy,City Road,Bus,Tuesday,Morning,74.5
10.61,20.5,7,Medium,,City Road,Bike,Sunday,Afternoon,35.3
6.52,24.8,8,Low,Rainy,City Road,Car,Friday,Evening,22.9
6.62,22.2,4,High,Clear,Rural Road,Bike,Wednesday,Evening,27.8
26.93,74.3,11,Low,Clear,Highway,Car,Friday,Evening,30.5
10.52,8.0,8,High,Rainy,City Road,Car,Thursday,Night,90.9
14.55,43.9,4,Medium,Clear,Rural Road,Car,Monday,Evening,22.4
5.24,22.5,8,Medium,Rainy,City Road,Car,Friday,Evening,27.1
7.05,22.4,9,Low,Foggy,City Road,Car,Monday,Night,33.3
28.96,20.2,18,Low,Foggy,City Road,Bus,Tuesday,Morning,106.1
6.55,11.0,8,High,Clear,City Road,Car,Friday,Evening,51.8
14.8,29.9,8,Medium,Stormy,Rural Road,Bus,Thursday,Afternoon,51.8
2.21,28.0,8,Medium,Clear,City Road,Bike,Tuesday,Night,11.9
5.02,48.3,5,High,Clear,Highway,Car,Monday,Evening,18.4
10.43,8.0,10,High,Foggy,City Road,Car,Friday,Evening,99.0
19.5,29.9,6,High,Clear,Rural Road,Truck,Friday,Night,52.0
12.28,64.7,5,Low,Clear,Highway,Bike,Tuesday,Morning,13.7
10.95,24.5,10,Medium,Clear,City Road,Truck,Wednesday,Evening,35.9
17.15,9.4,13,High,Clear,City Road,Car,Wednesday,Night,125.5
13.68,33.8,4,Medium,Foggy,Rural Road,Bike,Sunday,Night,32.1
4.27,73.6,2,Low,Clear,Highway,Bus,Saturday,Morning,10.3
11.84,15.4,11,High,Clear,City Road,Truck,Tuesday,Night,61.3
9.28,25.8,5,Medium,Rainy,Rural Road,Car,Thursday,Morning,29.5
10.72,28.9,9,Medium,Clear,City Road,Truck,Sunday,Afternoon,34.0
9.13,12.9,12,High,Rainy,City Road,Car,Wednesday,Night,61.0
11.93,41.9,4,Medium,Stormy,Highway,Bus,Monday,Evening,39.9
15.08,14.1,13,Medium,Rainy,City Road,Bike,Wednesday,Evening,72.5
5.62,8.0,9,Medium,Foggy,City Road,Bike,Friday,Evening,48.5
8.09,35.1,8,Medium,Clear,City Road,Car,Sunday,Night,17.4
16.85,20.4,12,Low,Foggy,City Road,Bus,Wednesday,Morning,63.7
18.01,11.2,12,High,Clear,City Road,Car,Monday,Afternoon,114.9
24.86,15.0,15,High,Clear,City Road,Car,Tuesday,Afternoon,119.5
12.42,45.8,5,Low,Rainy,Rural Road,Bike,Wednesday,Night,18.0
7.83,79.0,3,Low,Clear,Highway,Bike,Monday,Evening,9.9
8.17,8.0,8,High,Foggy,City Road,Car,Monday,Evening,82.1
12.2,25.1,10,Low,Rainy,City Road,Bike,Friday,Night,31.9
7.03,54.5,3,Medium,Stormy,Highway,Car,Saturday,Night,19.4
23.94,38.9,11,Medium,Clear,City Road,Bike,Tuesday,Afternoon,38.1
9.1,36.0,9,Medium,Clear,City Road,Bike,Thursday,Afternoon,21.2
22.14,58.5,8,Low,Rainy,Highway,Bike,Friday,Morning,29.2
6.51,20.7,5,Medium,Clear,City Road,Bus,Friday,Morning,28.7
10.75,69.8,4,Medium,Clear,Highway,Bike,Sunday,Afternoon,6.4
9.86,28.9,5,Medium,Rainy,Rural Road,Car,Sunday,Evening,26.7
5.16,38.9,6,Low,Stormy,Rural Road,Bike,Wednesday,Night,18.7
10.29,20.3,9,Medium,Rainy,City Road,Car,Sunday,Afternoon,44.2
13.65,17.4,12,Medium,Clear,City Road,Car,Monday,Evening,49.6
3.11,44.8,9,Low,Clear,City Road,Bus,Sunday,Night,9.8
15.83,66.4,6,Low,Rainy,Highway,Car,Monday,Afternoon,22.7
14.29,43.0,7,Low,Clear,Rural Road,Car,Monday,Morning,20.1
11.77,49.4,9,Low,Clear,Rural Road,Truck,Monday,Night,21.5
17.57,35.1,12,Low,Clear,City Road,Car,Monday,Evening,31.9
18.22,22.5,9,High,Clear,Rural Road,Car,Thursday,Morning,64.8
42.35,74.4,15,Medium,Clear,Highway,Car,Friday,Afternoon,37.7
5.01,26.1,5,High,Clear,Rural Road,Car,Saturday,Afternoon,22.2
25.86,32.7,10,High,Rainy,Highway,Bike,Monday,Morning,64.4
20.03,37.8,10,Low,Clear,City Road,Bus,Wednesday,Afternoon,43.1
14.29,21.1,10,Medium,Rainy,City Road,Bike,Monday,Night,48.3
6.59,23.0,3,High,Clear,Rural Road,Car,Tuesday,Evening,26.0
9.46,9.6,9,Medium,Foggy,City Road,Bike,Saturday,Night,70.3
8.72,32.4,8,Medium,Clear,City Road,Car,Friday,Night,20.4
11.11,25.5,11,Medium,Clear,City Road,Bike,Tuesday,Afternoon,33.2
17.2,28.8,12,Low,Clear,City Road,Bike,Wednesday,Morning,38.1
23.24,42.9,8,Medium,Clear,Rural Road,Car,Sunday,Morning,37.2
29.87,8.0,16,High,Clear,City Road,Bus,Friday,Night,245.6
9.51,8.0,10,High,Foggy,City Road,Bus,Tuesday,Afternoon,93.8
13.07,61.6,7,Low,Foggy,Highway,Car,Sunday,Evening,17.0
7.3,65.9,2,Medium,Clear,Highway,Bike,Tuesday,Afternoon,7.4
20.53,37.8,12,Low,Clear,City Road,Bike,Wednesday,Night,38.0
14.79,8.0,14,High,Rainy,City Road,Car,Friday,Evening,128.5
10.55,41.8,10,Low,Rainy,City Road,Car,Thursday,Night,22.6
4.83,20.3,8,High,Clear,City Road,Bike,Monday,Afternoon,22.1
13.17,16.4,10,High,Rainy,City Road,Truck,Saturday,Night,67.0
13.94,28.5,11,Low,Clear,City Road,Bike,Tuesday,Evening,30.8
4.02,56.1,5,Low,Rainy,Highway,Bike,Friday,Morning,6.7
5.67,21.7,4,High,Clear,Rural Road,Bike,Wednesday,Morning,27.7
13.0,59.0,8,Low,Clear,Rural Road,Car,Saturday,Afternoon,17.9
28.45,12.7,16,Medium,Clear,City Road,Car,Sunday,Morning,141.6
21.7,8.0,12,High,Rainy,City Road,Car,Saturday,Night,182.1
10.72,32.9,5,Medium,Clear,Rural Road,Truck,Sunday,Morning,30.3
9.84,55.8,3,Medium,Rainy,Highway,Bus,Thursday,Evening,20.1
7.96,55.1,4,Medium,Rainy,Highway,Truck,Monday,Evening,13.8
7.5,20.1,10,Low,Rainy,City Road,Car,Thursday,Evening,27.7
10.24,8.0,10,High,Clear,City Road,Bike,Thursday,Evening,91.1
33.08,74.3,12,Low,Clear,Highway,Bike,Saturday,Night,33.3
9.8,77.9,3,Low,Clear,Highway,Car,Tuesday,Night,5.1
11.94,25.7,11,Low,Rainy,City Road,Car,Friday,Night,39.3
5.9,17.2,2,High,Foggy,Rural Road,Bus,Thursday,Afternoon,43.1
16.17,68.0,5,Low,Clear,Highway,Bike,Friday,Evening,17.5
11.82,38.5,6,High,Foggy,Highway,Bike,Wednesday,Morning,36.9
9.48,29.9,9,Medium,Clear,City Road,Car,Wednesday,Night,29.7
6.72,45.9,3,High,Clear,Highway,Bike,Tuesday,Morning,18.3
7.7,55.8,3,High,Clear,Highway,Car,Saturday,Morning,19.8
9.13,8.9,10,High,Rainy,City Road,Car,Monday,Night,77.4
9.45,53.2,5,High,Clear,Highway,Bike,Tuesday,Night,21.8
6.68,69.1,2,Low,Clear,Highway,Car,Wednesday,Morning,3.1
11.23,16.1,5,High,Rainy,Rural Road,Truck,Tuesday,Night,60.6
13.34,21.7,10,Medium,Clear,City Road,Car,Sunday,Morning,45.6
17.73,38.5,9,Medium,Clear,Rural Road,Car,Wednesday,Morning,39.2
27.6,8.0,16,High,Clear,City Road,Car,Tuesday,Night,222.1
3.96,8.0,7,High,Clear,City Road,Bike,Tuesday,Morning,43.1
14.44,19.4,11,Medium,Clear,City Road,Car,Tuesday,Morning,53.7
10.06,24.5,9,Medium,Clear,City Road,Car,Friday,Night,32.9
3.33,14.2,6,Medium,Rainy,City Road,Car,Thursday,Evening,21.9
8.28,22.9,11,Medium,Clear,City Road,Car,Tuesday,Evening,30.8
4.25,61.4,2,Medium,Rainy,Highway,Bike,Sunday,Night,10.0
16.74,24.8,12,Medium,Clear,City Road,Car,Friday,Morning,45.9
15.58,52.1,4,Low,Clear,Rural Road,Car,Wednesday,Night,18.9
12.67,39.8,10,Low,Clear,City Road,Bus,Thursday,Afternoon,31.0
7.81,42.0,2,High,Clear,Highway,Car,Friday,Evening,18.6
23.7,46.4,9,Medium,Clear,Rural Road,Bike,Tuesday,Afternoon,30.9
6.22,30.4,8,High,Clear,Rural Road,Car,Saturday,Afternoon,25.6
9.55,52.0,5,Medium,Foggy,Highway,Bike,Tuesday,Afternoon,16.6
10.52,59.2,7,Low,Foggy,Highway,Car,Monday,Evening,22.7
11.35,39.8,11,Low,Clear,City Road,Car,Thursday,Night,26.6
36.47,25.4,20,Low,Rainy,City Road,Car,Sunday,Morning,102.8
